country,age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search,location
Birmingham,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,,Stolen goods,"{'latitude': '52.493367', 'street': {'id': 1258734, 'name': 'On or near Attenborough Close'}, 'longitude': '-1.897784'}"
Birmingham,18-24,Black/African/Caribbean/Black British - African,,,Controlled drugs,"{'latitude': '52.487398', 'street': {'id': 1258740, 'name': 'On or near Finstall Close'}, 'longitude': '-1.878536'}"
Birmingham,,Black/African/Caribbean/Black British - Caribbean,,,Offensive weapons,"{'latitude': '52.481417', 'street': {'id': 1255974, 'name': 'On or near Shopping Area'}, 'longitude': '-1.894661'}"
Birmingham,10-17,Mixed/Multiple ethnic groups - White and Black Caribbean,,,Offensive weapons,"{'latitude': '52.481417', 'street': {'id': 1255974, 'name': 'On or near Shopping Area'}, 'longitude': '-1.894661'}"
Birmingham,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,,Offensive weapons,"{'latitude': '52.481417', 'street': {'id': 1255974, 'name': 'On or near Shopping Area'}, 'longitude': '-1.894661'}"
Birmingham,18-24,Asian/Asian British - Pakistani,,,Controlled drugs,"{'latitude': '52.476614', 'street': {'id': 1255950, 'name': 'On or near Nightclub'}, 'longitude': '-1.892331'}"
Birmingham,18-24,Black/African/Caribbean/Black British - Caribbean,,,Offensive weapons,"{'latitude': '52.498961', 'street': {'id': 1259959, 'name': 'On or near Clifford Street'}, 'longitude': '-1.900541'}"
Birmingham,25-34,White - English/Welsh/Scottish/Northern Irish/British,,,Offensive weapons,"{'latitude': '52.482715', 'street': {'id': 1256016, 'name': 'On or near Supermarket'}, 'longitude': '-1.898516'}"
Birmingham,18-24,Asian/Asian British - Indian,,Asian,Controlled drugs,"{'latitude': '52.475009', 'street': {'id': 1255833, 'name': 'On or near Adderley Street'}, 'longitude': '-1.878319'}"
Birmingham,,Asian/Asian British - Bangladeshi,,,Controlled drugs,"{'latitude': '52.475009', 'street': {'id': 1255833, 'name': 'On or near Adderley Street'}, 'longitude': '-1.878319'}"
