country,age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search,location
surrey,18-24,Asian/Asian British - Pakistani,Female,Asian,Anything to threaten or harm anyone,"{'latitude': '51.307689', 'street': {'id': 1152942, 'name': 'On or near Wych Hill Lane'}, 'longitude': '-0.560124'}"
surrey,over 34,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '51.321492', 'street': {'id': 1153819, 'name': 'On or near Parking Area'}, 'longitude': '-0.560854'}"
surrey,over 34,White - Irish,Male,White,Controlled drugs,"{'latitude': '51.320735', 'street': {'id': 1153804, 'name': 'On or near Victoria Way'}, 'longitude': '-0.560735'}"
surrey,25-34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Controlled drugs,"{'latitude': '51.321290', 'street': {'id': 1153803, 'name': 'On or near Victoria Way'}, 'longitude': '-0.559067'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Controlled drugs,"{'latitude': '51.320690', 'street': {'id': 1153811, 'name': 'On or near Chobham Road'}, 'longitude': '-0.557048'}"
surrey,over 34,Other ethnic group - Not stated,Male,Asian,Article for use in theft,"{'latitude': '51.321290', 'street': {'id': 1153803, 'name': 'On or near Victoria Way'}, 'longitude': '-0.559067'}"
surrey,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Article for use in theft,"{'latitude': '51.314197', 'street': {'id': 1153879, 'name': 'On or near Julian Close'}, 'longitude': '-0.575374'}"
surrey,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.321678', 'street': {'id': 1153810, 'name': 'On or near Chobham Road'}, 'longitude': '-0.558395'}"
surrey,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.321290', 'street': {'id': 1153803, 'name': 'On or near Victoria Way'}, 'longitude': '-0.559067'}"
surrey,over 34,White - Any other White background,Male,White,Stolen goods,"{'latitude': '51.321290', 'street': {'id': 1153803, 'name': 'On or near Victoria Way'}, 'longitude': '-0.559067'}"
surrey,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.321290', 'street': {'id': 1153803, 'name': 'On or near Victoria Way'}, 'longitude': '-0.559067'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.321492', 'street': {'id': 1153819, 'name': 'On or near Parking Area'}, 'longitude': '-0.560854'}"
surrey,10-17,Asian/Asian British - Any other Asian background,Male,Asian,Controlled drugs,"{'latitude': '51.325318', 'street': {'id': 1153974, 'name': 'On or near Omega Road'}, 'longitude': '-0.547330'}"
surrey,18-24,Other ethnic group - Not stated,Male,White,Controlled drugs,"{'latitude': '51.317957', 'street': {'id': 1153902, 'name': 'On or near Station Approach'}, 'longitude': '-0.556373'}"
surrey,over 34,White - Irish,Male,White,Controlled drugs,"{'latitude': '51.320735', 'street': {'id': 1153804, 'name': 'On or near Victoria Way'}, 'longitude': '-0.560735'}"
surrey,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.321290', 'street': {'id': 1153803, 'name': 'On or near Victoria Way'}, 'longitude': '-0.559067'}"
surrey,18-24,Asian/Asian British - Any other Asian background,Male,Asian,Anything to threaten or harm anyone,"{'latitude': '51.319464', 'street': {'id': 1153963, 'name': 'On or near The Broadway'}, 'longitude': '-0.555364'}"
surrey,25-34,Other ethnic group - Not stated,Male,White,Anything to threaten or harm anyone,"{'latitude': '51.321678', 'street': {'id': 1153810, 'name': 'On or near Chobham Road'}, 'longitude': '-0.558395'}"
surrey,25-34,Other ethnic group - Any other ethnic group,Male,,Controlled drugs,"{'latitude': '51.324000', 'street': {'id': 1153806, 'name': 'On or near Ferndale Road'}, 'longitude': '-0.557877'}"
surrey,18-24,Other ethnic group - Not stated,Male,Black,Article for use in theft,"{'latitude': '51.316980', 'street': {'id': 1153792, 'name': 'On or near Caradon Close'}, 'longitude': '-0.581645'}"
