country,age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search,location
liverpool,,Other ethnic group - Not stated,Male,White,Controlled drugs,"{'latitude': '53.407900', 'street': {'id': 1487832, 'name': 'Liverpool Lime Street (Station)'}, 'longitude': '-2.977600'}"
liverpool,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '53.407900', 'street': {'id': 1487832, 'name': 'Liverpool Lime Street (Station)'}, 'longitude': '-2.977600'}"
liverpool,18-24,Other ethnic group - Not stated,Male,White,Controlled drugs,"{'latitude': '53.407900', 'street': {'id': 1487832, 'name': 'Liverpool Lime Street (Station)'}, 'longitude': '-2.977600'}"
liverpool,18-24,Other ethnic group - Not stated,Male,White,Evidence of offences under the Act,"{'latitude': '53.407900', 'street': {'id': 1487832, 'name': 'Liverpool Lime Street (Station)'}, 'longitude': '-2.977600'}"
liverpool,18-24,Other ethnic group - Not stated,Male,White,Controlled drugs,"{'latitude': '53.407900', 'street': {'id': 1487832, 'name': 'Liverpool Lime Street (Station)'}, 'longitude': '-2.977600'}"
liverpool,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '53.407900', 'street': {'id': 1487832, 'name': 'Liverpool Lime Street (Station)'}, 'longitude': '-2.977600'}"
liverpool,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '53.407900', 'street': {'id': 1487832, 'name': 'Liverpool Lime Street (Station)'}, 'longitude': '-2.977600'}"
liverpool,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Stolen goods,"{'latitude': '53.407900', 'street': {'id': 1487832, 'name': 'Liverpool Lime Street (Station)'}, 'longitude': '-2.977600'}"
liverpool,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '53.407900', 'street': {'id': 1487832, 'name': 'Liverpool Lime Street (Station)'}, 'longitude': '-2.977600'}"
liverpool,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Anything to threaten or harm anyone,"{'latitude': '53.404400', 'street': {'id': 1487834, 'name': 'Liverpool Central (Station)'}, 'longitude': '-2.979630'}"
liverpool,over 34,Black/African/Caribbean/Black British - Caribbean,Male,Black,Controlled drugs,"{'latitude': '53.407900', 'street': {'id': 1487832, 'name': 'Liverpool Lime Street (Station)'}, 'longitude': '-2.977600'}"
liverpool,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Article for use in theft,"{'latitude': '53.407900', 'street': {'id': 1487832, 'name': 'Liverpool Lime Street (Station)'}, 'longitude': '-2.977600'}"
liverpool,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '53.407900', 'street': {'id': 1487832, 'name': 'Liverpool Lime Street (Station)'}, 'longitude': '-2.977600'}"
liverpool,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '53.407900', 'street': {'id': 1487832, 'name': 'Liverpool Lime Street (Station)'}, 'longitude': '-2.977600'}"
liverpool,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '53.407900', 'street': {'id': 1487832, 'name': 'Liverpool Lime Street (Station)'}, 'longitude': '-2.977600'}"
