country,age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search,location
london,18-24,Other ethnic group - Not stated,Female,Black,Controlled drugs,"{'latitude': '51.510893', 'street': {'id': 956150, 'name': 'On or near Strand'}, 'longitude': '-0.120231'}"
london,18-24,Other ethnic group - Not stated,Female,Black,Controlled drugs,"{'latitude': '51.510893', 'street': {'id': 956150, 'name': 'On or near Strand'}, 'longitude': '-0.120231'}"
london,25-34,Black/African/Caribbean/Black British - African,Male,Black,Controlled drugs,"{'latitude': '51.511749', 'street': {'id': 587552, 'name': 'On or near Temple Avenue'}, 'longitude': '-0.108018'}"
london,18-24,Other ethnic group - Not stated,Male,Asian,Stolen goods,"{'latitude': '51.507133', 'street': {'id': 956297, 'name': 'On or near Victoria Embankment'}, 'longitude': '-0.121813'}"
london,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Article for use in theft,"{'latitude': '51.510873', 'street': {'id': 587569, 'name': 'On or near Ferry Terminal'}, 'longitude': '-0.105561'}"
london,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Stolen goods,"{'latitude': '51.501207', 'street': {'id': 953429, 'name': 'On or near Great George Street'}, 'longitude': '-0.128569'}"
london,18-24,Other ethnic group - Not stated,Male,Black,Stolen goods,"{'latitude': '51.500844', 'street': {'id': 953528, 'name': 'On or near Westminster Bridge Road'}, 'longitude': '-0.122777'}"
london,25-34,Other ethnic group - Not stated,Male,Asian,Controlled drugs,"{'latitude': '51.507613', 'street': {'id': 956646, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-0.127701'}"
london,18-24,Asian/Asian British - Pakistani,Male,Other,,"{'latitude': '51.516120', 'street': {'id': 956425, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-0.129961'}"
london,10-17,Other ethnic group - Not stated,Male,Black,Stolen goods,"{'latitude': '51.501207', 'street': {'id': 953429, 'name': 'On or near Great George Street'}, 'longitude': '-0.128569'}"
london,25-34,Other ethnic group - Not stated,Male,Black,Controlled drugs,"{'latitude': '51.511985', 'street': {'id': 956432, 'name': 'On or near Shopping Area'}, 'longitude': '-0.131701'}"
london,10-17,Other ethnic group - Not stated,Male,Other,Controlled drugs,"{'latitude': '51.501490', 'street': {'id': 953532, 'name': 'On or near Canon Row'}, 'longitude': '-0.125503'}"
london,,Other ethnic group - Not stated,Male,Other,Controlled drugs,"{'latitude': '51.511985', 'street': {'id': 956432, 'name': 'On or near Shopping Area'}, 'longitude': '-0.131701'}"
london,18-24,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '51.509962', 'street': {'id': 956438, 'name': 'On or near Whitcomb Street'}, 'longitude': '-0.131179'}"
london,over 34,Other ethnic group - Not stated,Male,Other,Controlled drugs,"{'latitude': '51.510835', 'street': {'id': 956562, 'name': 'On or near Nightclub'}, 'longitude': '-0.128996'}"
london,25-34,Asian/Asian British - Any other Asian background,Male,Asian,Fireworks,"{'latitude': '51.516120', 'street': {'id': 956425, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-0.129961'}"
london,,Other ethnic group - Not stated,Male,Black,Stolen goods,"{'latitude': '51.509150', 'street': {'id': 956550, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.134959'}"
london,25-34,Other ethnic group - Not stated,Male,Other,Stolen goods,"{'latitude': '51.511694', 'street': {'id': 956389, 'name': 'On or near Bloomfield Place'}, 'longitude': '-0.144554'}"
