age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search,location
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.404218', 'street': {'id': 910567, 'name': 'On or near Bus/Coach Station'}, 'longitude': '-2.987117'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405982', 'street': {'id': 912079, 'name': 'On or near Back Lime Street'}, 'longitude': '-2.979260'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405982', 'street': {'id': 912079, 'name': 'On or near Back Lime Street'}, 'longitude': '-2.979260'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405982', 'street': {'id': 912079, 'name': 'On or near Back Lime Street'}, 'longitude': '-2.979260'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405982', 'street': {'id': 912079, 'name': 'On or near Back Lime Street'}, 'longitude': '-2.979260'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.404583', 'street': {'id': 910347, 'name': 'On or near Shopping Area'}, 'longitude': '-2.979950'}"
18-24,Other ethnic group - Not stated,Male,White,None,"{'latitude': '53.405982', 'street': {'id': 912079, 'name': 'On or near Back Lime Street'}, 'longitude': '-2.979260'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405247', 'street': {'id': 910547, 'name': 'On or near Lord Street'}, 'longitude': '-2.988735'}"
over 34,Other ethnic group - Not stated,Male,Black,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405226', 'street': {'id': 910546, 'name': 'On or near Lord Street'}, 'longitude': '-2.989201'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.388992', 'street': {'id': 908683, 'name': 'On or near Southern Crescent'}, 'longitude': '-2.978284'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Female,White,None,"{'latitude': '53.407213', 'street': {'id': 912015, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-2.979333'}"
18-24,Asian/Asian British - Any other Asian background,Male,Asian,None,"{'latitude': '53.398115', 'street': {'id': 910309, 'name': 'On or near Upper Frederick Street'}, 'longitude': '-2.980463'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.403765', 'street': {'id': 910519, 'name': 'On or near Parking Area'}, 'longitude': '-2.990791'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.403765', 'street': {'id': 910519, 'name': 'On or near Parking Area'}, 'longitude': '-2.990791'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.402353', 'street': {'id': 910560, 'name': 'On or near Duke Street Lane'}, 'longitude': '-2.985464'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405226', 'street': {'id': 910546, 'name': 'On or near Lord Street'}, 'longitude': '-2.989201'}"
Oct-17,Other ethnic group - Not stated,Male,Black,None,"{'latitude': '53.405982', 'street': {'id': 912079, 'name': 'On or near Back Lime Street'}, 'longitude': '-2.979260'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.399528', 'street': {'id': 910349, 'name': 'On or near Further/Higher Educational Building'}, 'longitude': '-2.979247'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.399528', 'street': {'id': 910349, 'name': 'On or near Further/Higher Educational Building'}, 'longitude': '-2.979247'}"
18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,None,Black,None,"{'latitude': '53.394086', 'street': {'id': 910392, 'name': 'On or near Ashwell Street'}, 'longitude': '-2.976415'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.399383', 'street': {'id': 910315, 'name': 'On or near Pitt Street'}, 'longitude': '-2.981515'}"
18-24,Black/African/Caribbean/Black British - African,Male,Black,None,"{'latitude': '53.395379', 'street': {'id': 910362, 'name': 'On or near Parliament Close'}, 'longitude': '-2.974355'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405648', 'street': {'id': 910569, 'name': 'On or near Shopping Area'}, 'longitude': '-2.987014'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.394753', 'street': {'id': 910440, 'name': 'On or near Lestock Street'}, 'longitude': '-2.971799'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.392828', 'street': {'id': 910516, 'name': 'On or near Upper Harrington Street'}, 'longitude': '-2.975259'}"
25-34,Asian/Asian British - Any other Asian background,Male,Other,None,"{'latitude': '53.408577', 'street': {'id': 911970, 'name': 'On or near Greek Street'}, 'longitude': '-2.972926'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.403950', 'street': {'id': 910538, 'name': 'On or near Strand Street'}, 'longitude': '-2.992360'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.399383', 'street': {'id': 910315, 'name': 'On or near Pitt Street'}, 'longitude': '-2.981515'}"
25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,White,None,"{'latitude': '53.399383', 'street': {'id': 910315, 'name': 'On or near Pitt Street'}, 'longitude': '-2.981515'}"
over 34,None,Male,Other,None,"{'latitude': '53.410420', 'street': {'id': 912031, 'name': 'On or near Islington'}, 'longitude': '-2.977301'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.400876', 'street': {'id': 910549, 'name': 'On or near Lakeland Close'}, 'longitude': '-2.984753'}"
18-24,Other ethnic group - Not stated,None,White,None,"{'latitude': '53.408705', 'street': {'id': 911837, 'name': 'On or near George Street'}, 'longitude': '-2.992335'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.399373', 'street': {'id': 910528, 'name': 'On or near Parking Area'}, 'longitude': '-2.989336'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.399383', 'street': {'id': 910315, 'name': 'On or near Pitt Street'}, 'longitude': '-2.981515'}"
Oct-17,Other ethnic group - Not stated,Male,White,None,"{'latitude': '53.399383', 'street': {'id': 910315, 'name': 'On or near Pitt Street'}, 'longitude': '-2.981515'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.397560', 'street': {'id': 910303, 'name': 'On or near Parking Area'}, 'longitude': '-2.979187'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.402600', 'street': {'id': 910383, 'name': 'On or near Bold Street'}, 'longitude': '-2.977302'}"
25-34,White - Irish,Male,White,None,"{'latitude': '53.400970', 'street': {'id': 910399, 'name': 'On or near Further/Higher Educational Building'}, 'longitude': '-2.977671'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.402928', 'street': {'id': 910353, 'name': 'On or near Wood Street'}, 'longitude': '-2.978904'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,None,White,None,"{'latitude': '53.404689', 'street': {'id': 910366, 'name': 'On or near Lawton Street'}, 'longitude': '-2.979050'}"
18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,None,"{'latitude': '53.404365', 'street': {'id': 910355, 'name': 'On or near Upper Newington'}, 'longitude': '-2.976861'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.397560', 'street': {'id': 910303, 'name': 'On or near Parking Area'}, 'longitude': '-2.979187'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,None,"{'latitude': '53.396263', 'street': {'id': 910404, 'name': 'On or near Upper Parliament Street'}, 'longitude': '-2.966284'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.388992', 'street': {'id': 908683, 'name': 'On or near Southern Crescent'}, 'longitude': '-2.978284'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.392828', 'street': {'id': 910516, 'name': 'On or near Upper Harrington Street'}, 'longitude': '-2.975259'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.394753', 'street': {'id': 910440, 'name': 'On or near Lestock Street'}, 'longitude': '-2.971799'}"
18-24,Other ethnic group - Any other ethnic group,Male,Black,None,"{'latitude': '53.402353', 'street': {'id': 910560, 'name': 'On or near Duke Street Lane'}, 'longitude': '-2.985464'}"
18-24,Other ethnic group - Any other ethnic group,Male,Other,None,"{'latitude': '53.402353', 'street': {'id': 910560, 'name': 'On or near Duke Street Lane'}, 'longitude': '-2.985464'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.388992', 'street': {'id': 908683, 'name': 'On or near Southern Crescent'}, 'longitude': '-2.978284'}"
over 34,White - Irish,Male,White,None,"{'latitude': '53.413710', 'street': {'id': 912045, 'name': 'On or near Police Station'}, 'longitude': '-2.978384'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.396374', 'street': {'id': 910130, 'name': 'On or near Kimberley Close'}, 'longitude': '-2.960210'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405982', 'street': {'id': 912079, 'name': 'On or near Back Lime Street'}, 'longitude': '-2.979260'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405982', 'street': {'id': 912079, 'name': 'On or near Back Lime Street'}, 'longitude': '-2.979260'}"
Oct-17,Other ethnic group - Not stated,Male,Asian,None,"{'latitude': '53.391743', 'street': {'id': 908654, 'name': 'On or near Riverpark Gardens'}, 'longitude': '-2.972708'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405982', 'street': {'id': 912079, 'name': 'On or near Back Lime Street'}, 'longitude': '-2.979260'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405982', 'street': {'id': 912079, 'name': 'On or near Back Lime Street'}, 'longitude': '-2.979260'}"
25-34,Other ethnic group - Not stated,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405982', 'street': {'id': 912079, 'name': 'On or near Back Lime Street'}, 'longitude': '-2.979260'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
Oct-17,Other ethnic group - Not stated,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
18-24,Other ethnic group - Not stated,Male,None,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.409809', 'street': {'id': 912037, 'name': 'On or near Commutation Row'}, 'longitude': '-2.978355'}"
None,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,None,"{'latitude': '53.409723', 'street': {'id': 912017, 'name': 'On or near Parking Area'}, 'longitude': '-2.976879'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405982', 'street': {'id': 912079, 'name': 'On or near Back Lime Street'}, 'longitude': '-2.979260'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,None,"{'latitude': '53.409723', 'street': {'id': 912017, 'name': 'On or near Parking Area'}, 'longitude': '-2.976879'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.403765', 'street': {'id': 910519, 'name': 'On or near Parking Area'}, 'longitude': '-2.990791'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,None,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.403765', 'street': {'id': 910519, 'name': 'On or near Parking Area'}, 'longitude': '-2.990791'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405982', 'street': {'id': 912079, 'name': 'On or near Back Lime Street'}, 'longitude': '-2.979260'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407012', 'street': {'id': 912070, 'name': 'On or near Dawson Street'}, 'longitude': '-2.984037'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
Oct-17,Other ethnic group - Not stated,Male,None,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.404583', 'street': {'id': 910347, 'name': 'On or near Shopping Area'}, 'longitude': '-2.979950'}"
Oct-17,Other ethnic group - Not stated,Male,Black,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.412437', 'street': {'id': 912023, 'name': 'On or near St Josephs Crescent'}, 'longitude': '-2.977994'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.403765', 'street': {'id': 910519, 'name': 'On or near Parking Area'}, 'longitude': '-2.990791'}"
18-24,Other ethnic group - Not stated,Male,None,None,"{'latitude': '53.401872', 'street': {'id': 910564, 'name': 'On or near Canning Place'}, 'longitude': '-2.988220'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.402353', 'street': {'id': 910560, 'name': 'On or near Duke Street Lane'}, 'longitude': '-2.985464'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.402353', 'street': {'id': 910560, 'name': 'On or near Duke Street Lane'}, 'longitude': '-2.985464'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.399383', 'street': {'id': 910315, 'name': 'On or near Pitt Street'}, 'longitude': '-2.981515'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.398306', 'street': {'id': 910533, 'name': 'On or near Wapping'}, 'longitude': '-2.986739'}"
18-24,Other ethnic group - Not stated,Male,None,None,"{'latitude': '53.405247', 'street': {'id': 910547, 'name': 'On or near Lord Street'}, 'longitude': '-2.988735'}"
25-34,Other ethnic group - Not stated,Male,White,None,"{'latitude': '53.390187', 'street': {'id': 908705, 'name': 'On or near Camarthen Crescent'}, 'longitude': '-2.979394'}"
over 34,Other ethnic group - Not stated,Male,White,None,"{'latitude': '53.393409', 'street': {'id': 910515, 'name': 'On or near Fisher Street'}, 'longitude': '-2.980009'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.406618', 'street': {'id': 912084, 'name': 'On or near Supermarket'}, 'longitude': '-2.983878'}"
over 34,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,None,None,"{'latitude': '53.398726', 'street': {'id': 910413, 'name': 'On or near Sir Howard Street'}, 'longitude': '-2.966249'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.394086', 'street': {'id': 910392, 'name': 'On or near Ashwell Street'}, 'longitude': '-2.976415'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.400572', 'street': {'id': 910559, 'name': 'On or near Forrest Street'}, 'longitude': '-2.984490'}"
over 34,Other ethnic group - Not stated,Male,None,None,"{'latitude': '53.400572', 'street': {'id': 910559, 'name': 'On or near Forrest Street'}, 'longitude': '-2.984490'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.403765', 'street': {'id': 910519, 'name': 'On or near Parking Area'}, 'longitude': '-2.990791'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.400170', 'street': {'id': 910389, 'name': 'On or near Back Knight Street'}, 'longitude': '-2.975487'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.395202', 'street': {'id': 910331, 'name': 'On or near Chaloner Street'}, 'longitude': '-2.983915'}"
18-24,Asian/Asian British - Any other Asian background,Female,Asian,None,"{'latitude': '53.395372', 'street': {'id': 910361, 'name': 'On or near Pine Mews'}, 'longitude': '-2.975212'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.400651', 'street': {'id': 910405, 'name': 'On or near Upper Hope Place'}, 'longitude': '-2.970504'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.393857', 'street': {'id': 910312, 'name': 'On or near Sefton Street'}, 'longitude': '-2.982320'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.393857', 'street': {'id': 910312, 'name': 'On or near Sefton Street'}, 'longitude': '-2.982320'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.393857', 'street': {'id': 910312, 'name': 'On or near Sefton Street'}, 'longitude': '-2.982320'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.398115', 'street': {'id': 910309, 'name': 'On or near Upper Frederick Street'}, 'longitude': '-2.980463'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.398921', 'street': {'id': 910483, 'name': 'On or near Back Canning Street'}, 'longitude': '-2.969923'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.398921', 'street': {'id': 910483, 'name': 'On or near Back Canning Street'}, 'longitude': '-2.969923'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.394086', 'street': {'id': 910392, 'name': 'On or near Ashwell Street'}, 'longitude': '-2.976415'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.396263', 'street': {'id': 910404, 'name': 'On or near Upper Parliament Street'}, 'longitude': '-2.966284'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.398921', 'street': {'id': 910483, 'name': 'On or near Back Canning Street'}, 'longitude': '-2.969923'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.393409', 'street': {'id': 910515, 'name': 'On or near Fisher Street'}, 'longitude': '-2.980009'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.406242', 'street': {'id': 912078, 'name': 'On or near Hilbre Street'}, 'longitude': '-2.977115'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.388992', 'street': {'id': 908683, 'name': 'On or near Southern Crescent'}, 'longitude': '-2.978284'}"
18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Black,None,"{'latitude': '53.405776', 'street': {'id': 910395, 'name': 'On or near Ainsworth Street'}, 'longitude': '-2.974682'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.401472', 'street': {'id': 910306, 'name': 'On or near York Street'}, 'longitude': '-2.983338'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.401472', 'street': {'id': 910306, 'name': 'On or near York Street'}, 'longitude': '-2.983338'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.411693', 'street': {'id': 911809, 'name': 'On or near Princes Gardens'}, 'longitude': '-2.990870'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.392828', 'street': {'id': 910516, 'name': 'On or near Upper Harrington Street'}, 'longitude': '-2.975259'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.387789', 'street': {'id': 908698, 'name': 'On or near Northumberland Grove'}, 'longitude': '-2.979158'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.397747', 'street': {'id': 910414, 'name': 'On or near Sandon Street'}, 'longitude': '-2.963866'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405982', 'street': {'id': 912079, 'name': 'On or near Back Lime Street'}, 'longitude': '-2.979260'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.409277', 'street': {'id': 912030, 'name': 'On or near Lime Street'}, 'longitude': '-2.978599'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.406935', 'street': {'id': 911797, 'name': 'On or near Sweeting Street'}, 'longitude': '-2.990098'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.401215', 'street': {'id': 910488, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-2.969690'}"
over 34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Female,White,None,"{'latitude': '53.408243', 'street': {'id': 911854, 'name': 'On or near Crosshall Street'}, 'longitude': '-2.985164'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.397747', 'street': {'id': 910414, 'name': 'On or near Sandon Street'}, 'longitude': '-2.963866'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405247', 'street': {'id': 910547, 'name': 'On or near Lord Street'}, 'longitude': '-2.988735'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.394753', 'street': {'id': 910440, 'name': 'On or near Lestock Street'}, 'longitude': '-2.971799'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.399955', 'street': {'id': 910321, 'name': 'On or near Kent Street'}, 'longitude': '-2.979738'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.401240', 'street': {'id': 910498, 'name': 'On or near Further/Higher Educational Building'}, 'longitude': '-2.967630'}"
25-34,White - Any other White background,Male,White,None,"{'latitude': '53.410731', 'street': {'id': 912050, 'name': 'On or near Parking Area'}, 'longitude': '-2.983190'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.404521', 'street': {'id': 910318, 'name': 'On or near Old Post Office Place'}, 'longitude': '-2.983077'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,None,"{'latitude': '53.411693', 'street': {'id': 911809, 'name': 'On or near Princes Gardens'}, 'longitude': '-2.990870'}"
18-24,Other ethnic group - Not stated,Male,White,None,"{'latitude': '53.409278', 'street': {'id': 912029, 'name': 'On or near London Road'}, 'longitude': '-2.976267'}"
Oct-17,Asian/Asian British - Pakistani,Male,Asian,None,"{'latitude': '53.400170', 'street': {'id': 910389, 'name': 'On or near Back Knight Street'}, 'longitude': '-2.975487'}"
Oct-17,Asian/Asian British - Pakistani,Male,Asian,None,"{'latitude': '53.400170', 'street': {'id': 910389, 'name': 'On or near Back Knight Street'}, 'longitude': '-2.975487'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.409037', 'street': {'id': 912054, 'name': 'On or near Victoria Street'}, 'longitude': '-2.982670'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.409037', 'street': {'id': 912054, 'name': 'On or near Victoria Street'}, 'longitude': '-2.982670'}"
over 34,Other ethnic group - Not stated,Male,White,None,"{'latitude': '53.389856', 'street': {'id': 908656, 'name': 'On or near Park Road'}, 'longitude': '-2.970424'}"
